iter	Passed	Remaining
1382	528809	1383009
1383	529157	1382537
1384	529517	1382098
1385	529876	1381655
1386	530250	1381250
1387	530617	1380829
1388	530954	1380329
1389	531304	1379861
1390	531672	1379442
1391	532036	1379013
1392	532394	1378568
1393	532748	1378114
1394	533093	1377636
1395	533469	1377238
1396	533835	1376814
1397	534186	1376350
1398	534538	1375893
1399	534890	1375433
1400	535246	1374982
1401	535595	1374516
1402	535971	1374120
1403	536320	1373653
1404	536668	1373184
1405	537013	1372707
1406	537370	1372261
1407	537737	1371840
1408	538109	1371434
1409	538469	1370996
1410	538822	1370540
1411	539191	1370126
1412	539530	1369635
1413	539876	1369163
1414	540231	1368714
1415	540582	1368253
1416	540944	1367823
1417	541285	1367337
1418	541644	1366898
1419	542002	1366457
1420	542351	1365993
1421	542695	1365517
1422	543051	1365070
1423	543413	1364639
1424	543767	1364187
1425	544131	1363762
1426	544483	1363306
1427	544829	1362836
1428	545162	1362332
1429	545529	1361916
1430	545898	1361503
1431	546252	1361053
1432	546614	1360623
1433	546967	1360172
1434	547323	1359727
1435	547676	1359274
1436	548033	1358834
1437	548390	1358391
1438	548737	1357925
1439	549077	1357442
1440	549426	1356980
1441	549788	1356551
1442	550151	1356125
1443	550508	1355684
1444	550854	1355216
1445	551213	1354779
1446	551566	1354330
1447	551903	1353840
1448	552244	1353360
1449	552592	1352898
1450	552952	1352466
1451	553302	1352010
1452	553650	1351546
1453	554009	1351113
1454	554373	1350689
1455	554708	1350198
1456	555058	1349741
1457	555394	1349250
1458	555749	1348807
1459	556084	1348314
1460	556427	1347842
1461	556768	1347365
1462	557145	1346973
1463	557476	1346473
1464	557828	1346022
1465	558176	1345563
1466	558541	1345145
1467	558917	1344752
1468	559277	1344322
1469	559660	1343947
1470	560056	1343602
1471	560418	1343176
1472	560759	1342700
1473	561138	1342315
1474	561508	1341909
1475	561865	1341472
1476	562288	1341192
1477	562685	1340851
1478	563084	1340513
1479	563483	1340177
1480	563890	1339859
1481	564309	1339569
1482	564711	1339237
1483	565137	1338963
1484	565244	1337935
1485	565652	1337619
1486	566061	1337305
1487	566469	1336989
1488	566909	1336749
1489	567305	1336404
1490	567735	1336138
1491	568181	1335912
1492	568589	1335596
1493	568999	1335281
